timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1657464948737,486,313c03f53a0d31f70aec25f62efb33e7dd779725ca4af579018452d1204beaad,200,OK,Thread Group 1-1,text,true,,15594,117,1,1,https://www.google.com/,482,0,366
1657464948637,486,Transaction Controller,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,15594,117,1,1,null,482,106,366
1657464949354,42,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,200,OK,Thread Group 1-1,text,true,,15562,117,1,1,https://www.google.com/,40,0,0
1657464949354,42,Transaction Controller,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,15562,117,1,1,null,40,1,0
1657464949400,48,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,200,OK,Thread Group 1-1,text,true,,15600,117,1,1,https://www.google.com/,45,0,0
1657464949400,48,Transaction Controller,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,15600,117,1,1,null,45,173,0
1657464949624,43,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,200,OK,Thread Group 1-1,text,true,,15564,117,1,1,https://www.google.com/,41,0,0
1657464949624,43,Transaction Controller,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,15564,117,1,1,null,41,119,0
1657464949788,39,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,200,OK,Thread Group 1-1,text,true,,15579,117,1,1,https://www.google.com/,37,0,0
1657464949788,39,Transaction Controller,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,15579,117,1,1,null,37,138,0
1657464949967,43,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,200,OK,Thread Group 1-1,text,true,,15545,117,1,1,https://www.google.com/,41,0,0
1657464949967,43,Transaction Controller,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,15545,117,1,1,null,41,89,0
1657464950101,41,c9f8e30e36d1aef62c10b3cfca6e289a93848a148d876dd514753040314f4817,200,OK,Thread Group 1-1,text,true,,15629,117,1,1,https://www.google.com/,39,0,0
1657464950100,41,Transaction Controller,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,15629,117,1,1,null,39,276,0
1657464950419,37,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,200,OK,Thread Group 1-1,text,true,,15697,117,1,1,https://www.google.com/,35,0,0
1657464950419,37,Transaction Controller,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,15697,117,1,1,null,35,366,0
1657464950824,40,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,200,OK,Thread Group 1-1,text,true,,15518,117,1,1,https://www.google.com/,38,0,0
1657464950824,40,Transaction Controller,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,15518,117,1,1,null,38,201,0
1657464951067,38,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,200,OK,Thread Group 1-1,text,true,,15627,117,1,1,https://www.google.com/,37,0,0
1657464951067,38,Transaction Controller,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,15627,117,1,1,null,37,307,0
1657464951414,37,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,200,OK,Thread Group 1-1,text,true,,15566,117,1,1,https://www.google.com/,36,0,0
1657464951413,37,Transaction Controller,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,15566,117,1,1,null,36,99,0
1657464951551,41,bd5be891d0d10fbc3c59215d5f8159ea496433bc41adba7d8d10ea21d35c3e3a,200,OK,Thread Group 1-1,text,true,,15567,117,1,1,https://www.google.com/,40,0,0
